Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca10112\trunk\production_files\400484_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       18.05.21
Time:       10:38
Revision:   20463
Variant:    Default Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L12","3.0nH","TopLayer","INDC0603X03L_C","132.2400","39.2641","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"L11","3.0nH","TopLayer","INDC0603X03L_C","132.2400","36.8361","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"R5","1M0","TopLayer","RESC0603X03L_C","22.8900","20.5500","270","Resistor, ±1%, 0.05W"
"C70","470nF","TopLayer","CAPC0603X03L_C","22.8900","19.4100","270","Capacitor, X5R, ±10%, 6.3V"
"C3","0.8pF","TopLayer","CAPC1005X04L","119.7152","38.8928","270","Capacitor, NP0, ±5%"
"L1","4.7nH","TopLayer","INDC1005X04L","121.1376","38.3848","0","Inductor, 160mA, ±0.1nH"
"C4","0.5pF","TopLayer","CAPC1005X04L","122.5701","38.8882","270","Capacitor, NP0, ±0.05pF"
"C54","1.0pF","TopLayer","CAPC0603X03L_C","124.3900","38.3750","0","CAP CER 1PF 25V C0G/NP0 0201"
"L7","2.7nH","TopLayer","INDC0603X03L_C","130.3250","5.7999","225","Inductor, 600mA, ±0.1nH, 120mOhm"
"L6","2.0nH","TopLayer","INDC0603X03L_C","131.1152","5.4150","315","Inductor, 600mA, ±0.1nH, 120mOhm"
"C23","5.6pF","TopLayer","CAPC0603X03L_C","129.9408","6.5891","135","Chip Cap 0201"
"L5","1.9nH","TopLayer","INDC0603X03L_C","131.0511","36.8361","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"L8","1.9nH","TopLayer","INDC0603X03L_C","131.0511","39.2641","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"C58","1.0pF","TopLayer","CAPC0603X03L_C","132.7000","36.0150","90","RF Chip Cap 0201"
"C53","2.0pF","TopLayer","CAPC0603X03L_C","131.3252","36.0150","90","Capacitor, NP0, ±0.05pF, 25V"
"C55","2.0pF","TopLayer","CAPC0603X03L_C","131.3252","40.0785","270","Capacitor, NP0, ±0.05pF, 25V"
"C59","1.0pF","TopLayer","CAPC0603X03L_C","132.7000","40.0785","270","RF Chip Cap 0201"
"TP48","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","127.4250","49.7422","270","1.0mm circular SMD testpad"
"TP26","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","127.4250","52.9582","270","1.0mm circular SMD testpad"
"A2","2450AT18B100","TopLayer","2450AT18B100","133.7601","60.7300","45","2.45 GHz chip antenna"
"C57","5.6pF","TopLayer","CAPC0603X03L_C","129.9408","56.9108","225","Chip Cap 0201"
"L9","2.0nH","TopLayer","INDC0603X03L_C","131.1150","58.0851","45","Inductor, 600mA, ±0.1nH, 120mOhm"
"L10","2.7nH","TopLayer","INDC0603X03L_C","130.3249","57.7000","135","Inductor, 600mA, ±0.1nH, 120mOhm"
"J7","MM8130-2600","TopLayer","COAXIAL-SWF","133.9700","46.1500","180","Coaxial Connector with Switch"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","133.9700","28.6249","0","Coaxial Connector with Switch"
"A1","2450AT18B100","TopLayer","2450AT18B100","133.7601","2.7700","315","2.45 GHz chip antenna"
"C22","10µF","TopLayer","CAPC1608X06L","127.7432","42.4272","0","Capacitor, X5R, ±20%"
"C49","100nF","TopLayer","CAPC0603X03L_C","128.1350","41.4790","0","Capacitor, X5R, ±10%"
"U3","nRF21540-QDAAG0","TopLayer","QFN65P400X400X65_HS-17N","127.4500","38.0500","180","Radio front-end / range extender for 2.4GHz"
"R65","4k7","TopLayer","RESC0603X03L_C","55.7530","39.3700","0","Resistor, ±1%, 0.05W"
"R66","4k7","TopLayer","RESC0603X03L_C","55.7530","40.1320","0","Resistor, ±1%, 0.05W"
"R64","4k7","TopLayer","RESC0603X03L_C","55.7530","38.6080","0","Resistor, ±1%, 0.05W"
"R23","10k","TopLayer","RESC0603X03L_C","55.7530","40.8940","180","Resistor, ±1%, 0.05W"
"Q20","PMCPB5530","TopLayer","DFN65P200X200X80_HS-6N","54.7454","45.4152","180","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R22","10k","TopLayer","RESC0603X03L_C","52.5356","45.7708","270","Resistor, ±1%, 0.05W"
"C92","1.0µF","TopLayer","CAPC1608X06L","49.6062","40.5384","270","Capacitor, X7R, ±10%"
"U23","TCK106AF","TopLayer","SOT95P280X140-5N","52.4002","42.1894","180","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"SB81","Solderbridge","TopLayer","Solderbridge","52.4002","39.9034","180","Solderbridge"
"R69","866R","TopLayer","RESC0603X03L_C","51.9684","45.7708","90","Resistor, ±1%, 0.05W"
"R99","10k","TopLayer","RESC0603X03L_C","46.7360","39.1750","90","Resistor, ±1%, 0.05W"
"R97","4R7","TopLayer","RESC0603X03L_C","31.7500","39.4208","180","Resistor, ±1%, 0.05W"
"R98","4R7","TopLayer","RESC0603X03L_C","87.7824","14.9606","0","Resistor, ±1%, 0.05W"
"TP39","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","69.2150","40.0050","0","1.0mm circular SMD testpad"
"TP35","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","61.7220","39.6240","0","1.0mm circular SMD testpad"
"R2","0R","TopLayer","RESC0603X03L_C","103.4034","37.3380","90","Resistor, ±5%, 0.05W"
"R1","0R","TopLayer","RESC0603X03L_C","104.3178","37.3380","90","Resistor, ±5%, 0.05W"
"R49","10k","TopLayer","RESC0603X03L_C","75.0316","13.0810","180","Resistor, ±1%, 0.05W"
"C15","1.0µF","TopLayer","CAPC1608X06L","112.8136","43.4814","180","Capacitor, X7R, ±10%"
"L3","15nH","TopLayer","INDC1005X04L","111.3886","44.9924","180","Inductor, 320mA, ±5%"
"L2","10µH","TopLayer","INDC1608X06L","110.9136","43.2674","270","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"C16","47nF","TopLayer","CAPC1005X04L","112.8014","42.4434","0","Capacitor, X7R, ±10%"
"R53","4k7","TopLayer","RESC0603X03L_C","80.4164","21.7424","0","Resistor, ±1%, 0.05W"
"R52","4k7","TopLayer","RESC0603X03L_C","82.9056","21.7424","180","Resistor, ±1%, 0.05W"
"SB48","Solderbridge","TopLayer","Solderbridge","29.2608","30.1244","270","Solderbridge"
"U24","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","27.4828","30.3530","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"SB49","Solderbridge","TopLayer","Solderbridge","31.0896","30.1244","270","Solderbridge"
"U22","TCK106AF","TopLayer","SOT95P280X140-5N","84.3026","12.5476","270","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"SB80","Solderbridge","TopLayer","Solderbridge","86.9950","12.5476","270","Solderbridge"
"C91","1.0µF","TopLayer","CAPC1608X06L","85.5980","9.3980","180","Capacitor, X7R, ±10%"
"SB39","Solderbridge","TopLayer","Solderbridge","24.5618","16.6878","270","Solderbridge"
"C69","100nF","TopLayer","CAPC0603X03L_C","6.3398","38.6004","180","Capacitor, X5R, ±10%"
"C68","100nF","TopLayer","CAPC0603X03L_C","83.2231","7.6835","90","Capacitor, X5R, ±10%"
"TP13","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","93.2942","16.1290","0","1.0mm circular SMD testpad"
"TP14","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","95.1992","16.1290","0","1.0mm circular SMD testpad"
"TP17","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","123.4440","18.4150","90","1.0mm circular SMD testpad"
"TP7","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","53.3400","19.0500","90","1.0mm circular SMD testpad"
"TP6","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","55.8800","16.5100","90","1.0mm circular SMD testpad"
"TP5","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","53.3400","16.5100","90","1.0mm circular SMD testpad"
"TP4","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","68.3260","21.5900","90","1.0mm circular SMD testpad"
"TP3","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","68.3260","19.0500","90","1.0mm circular SMD testpad"
"TP2","Ø1.0mm,SMD","TopLayer","TP_SMD_Ø1.0mm","65.7860","21.5900","90","1.0mm circular SMD testpad"
